airline,mean_arrival_delay,mean_departure_delay,mean_distance,year
9E,4.4527776720261585,10.670500760147004,475.3693782820314,2018
AA,5.432064851861042,10.035396336291257,1019.9761440912413,2018
AS,-0.5015618633709081,2.4724250063640927,1307.9915870813043,2018
B6,11.432515667085351,15.835463895428866,1072.6260235573075,2018
DL,-0.2898254677449679,7.444506241045512,887.5158280950141,2018
EV,8.800699958796029,12.289559882364873,472.2796065307778,2018
F9,14.213311436910223,19.664290629805528,1034.385312683188,2018
G4,9.98351752248088,12.923752252441018,884.1589594770146,2018
HA,0.8513103448275868,0.9135409054424789,678.02988990452,2018
MQ,5.357279690119756,7.68136227597373,433.55815746497234,2018
NK,5.171453347805361,9.85079195831255,1030.2130462448622,2018
OH,8.23735063058725,11.9720729067809,384.32240881963486,2018
OO,7.044140610623612,10.07741703960698,481.11635737832455,2018
UA,5.764874820097082,10.032101864554653,1184.5733578524378,2018
VX,1.7279776132454965,6.319139061321576,1470.1968439983757,2018
WN,4.519644279965066,11.132819497000996,750.1172807445531,2018
YV,8.853066085110049,11.193251211785809,553.3477443609023,2018
YX,3.0766874582312314,7.3086636818196675,596.1167358410405,2018
