airline,mean_arrival_delay,mean_departure_delay,mean_distance,year
9E,0.9500134288794863,4.031008052779664,412.0308489376152,2009
AA,5.6708979356330085,9.9701829476856485,1052.0493062039511,2009
AS,1.317029800860305,3.5584778547578084,1024.3766162128768,2009
B6,5.079280580811648,9.0451664108106975,1057.3887966414989,2009
CO,5.513818562083278,9.616894418703106,1191.7563602010175,2009
DL,4.841973616257676,7.201473279887569,928.8593096048068,2009
EV,11.720781314309233,12.180766941877406,405.26731467737415,2009
F9,5.685623372866648,6.113162183718054,862.7587876966468,2009
FL,8.197841813846342,9.36324166122439,736.0775221923905,2009
HA,0.26078744933689935,-1.0881489950821703,505.3254721529624,2009
MQ,5.96796750038926,7.853741984822638,418.9363680216483,2009
NW,3.9242081097012393,5.695111839004133,877.3612222638925,2009
OH,10.687756925826632,10.977554126503133,485.92235811931823,2009
OO,3.3035037773063904,5.123137431046899,445.9282163883795,2009
UA,1.034190117198503,8.081000597202069,1111.0839379666486,2009
US,2.0899595546332437,3.4194799993119727,858.7522219573866,2009
WN,1.6638596867624946,8.783072834396206,639.4783988462726,2009
XE,5.754591007003205,6.911216535653108,566.8761436973767,2009
YV,6.04392087934268,8.048537010938864,390.94608583316557,2009
